Payment Amount,Payment Type,Payment_Type,Order_Count
54.96714153011233,0.972347139765763,Gift Card,27
56.47688538100692,1.3046059712816052,Cash,25
47.658466252766644,0.9531726086101638,Gift Card,25
65.79212815507391,1.1534869458305819,Gift Card,29
45.30525614065048,1.108512008717193,Mobile App,27
45.365823071875376,0.9068540492859486,Cash,36
52.41962271566034,0.6173439510684404,Credit Card,28
32.75082167486967,0.8875424941518054,Mobile App,34
39.87168879665576,1.0628494665190549,Mobile App,31
40.91975924478789,0.7175392597329417,Credit Card,20
64.65648768921554,0.9548447399026929,Mobile App,33
50.67528204687924,0.7150503627573086,Gift Card,35
44.556172754748175,1.0221845179419733,Gift Card,42
38.490064225776976,1.0751396036691343,Cash,26
43.99361310081195,0.9416612500413446,Cash,26
43.98293387770603,1.3704556369017875,Credit Card,34
49.86502775262066,0.7884578142088199,Cash,30
58.225449121031886,0.7558312700057955,Gift Card,28
52.08863595004755,0.6080659752240449,Credit Card,36
36.71813951101569,1.0393722471738247,Credit Card,34
57.38466579995411,1.0342736562379942,Cash,39
48.843517176117594,0.9397792608821423,Gift Card,26
35.214780096325725,0.8560311583210582,Credit Card,24
45.393612290402125,1.2114244452437832,Gift Card,37
53.43618289568462,0.6473919689274532,Gift Card,34
53.24083969394795,0.9229835439167366,Gift Card,42
43.23077999694041,1.1223352577681736,Cash,28
60.30999522495951,1.1862560238232398,Mobile App,35
41.607824767773614,0.9381575248297571,Mobile App,28
53.31263431403564,1.1951090254244718,Credit Card,36
45.2082576215471,0.9628682046672365,Gift Card,29
38.93665025993972,0.7607586751838659,Cash,33
58.125258223941984,1.2712480057141646,Gift Card,18
49.27989878419666,1.2007065795784049,Gift Card,24
53.61636025047634,0.8709760490789751,Cash,31
53.61395605508414,1.3076073132931938,Mobile App,23
49.64173960890049,1.3129287311628013,Gift Card,24
23.802548959102555,1.1643805008750447,Gift Card,26
50.870470682381715,0.9401985299068265,Mobile App,33
50.91760776535502,0.6024862170798214,Cash,26
47.80328112162488,1.0714225143023492,Credit Card,31
64.77894044741517,0.8963459563452705,Mobile App,39
41.91506397106812,0.8996485912830927,Credit Card,33
59.15402117702074,1.0657502219319368,Credit Card,31
44.70239796232961,1.1026534866226712,Mobile App,27
50.9707754934804,1.193728998106578,Gift Card,32
42.979469061226474,0.9344675706804464,Credit Card,34
46.078918468678424,0.7072970103735763,Credit Card,20
52.96120277064576,1.052211054435978,Cash,26
50.05113456642461,0.9530825733249706,Gift Card,33
35.84629257949586,0.9158709354469282,Credit Card,19
46.572854834732304,0.8395445461556762,Cash,41
48.387142883339905,1.0808101713629077,Gift Card,33
68.8618590121053,1.0349155625663677,Mobile App,25
52.57550390722764,0.9851108168467666,Mobile App,34
30.812287847009586,0.9946972249101567,Cash,26
50.60230209941027,1.4926484224970573,Mobile App,20
48.076390352188774,1.0603094684667225,Credit Card,22
49.65288230294757,0.7662643924760936,Gift Card,34
61.42822814515021,1.150386606537355,Credit Card,29
57.910319470430466,0.8181225090410522,Credit Card,28
64.02794310936099,0.7196297874415438,Mobile App,25
55.868570938002705,1.4380911251619957,Credit Card,26
40.09463674869312,0.8867404540794456,Mobile App,32
50.99651365087641,0.8993048691767601,Gift Card,27
34.493365689338674,1.0137125949612054,Gift Card,32
39.37696286273895,1.0947184861270363,Credit Card,32
40.80575765766197,1.3099868810035078,Cash,26
42.16746707663763,0.9355876967588649,Mobile App,33
58.135172173696695,0.753827136713209,Mobile App,27
103.41189901906193,2.3921428262847284,Credit Card,32
75.88775148158159,2.055390157559691,Mobile App,42
103.89824191372635,2.234546861533193,Mobile App,25
81.44573933682878,1.6038630160747172,Cash,33
107.82912348425347,2.089095401969956,Cash,28
103.75739275518815,2.1039344628490926,Credit Card,31
89.79962917632264,2.069676109148301,Cash,29
104.39608709948021,1.7856945745920896,Credit Card,28
127.98661766717134,2.1421498762735363,Gift Card,24
82.13044754196028,2.1969660825901487,Credit Card,50
85.37977494659017,2.2361253811227355,Gift Card,21
117.37893368511106,1.753795304494487,Credit Card,39
114.45064193866483,2.1238342780809494,Mobile App,26
112.33090239991735,2.569037894796184,Cash,34
96.31917825995694,1.7738791506927531,Gift Card,31
86.65728355561716,1.7552569145103685,Credit Card,32
98.84347435878844,2.102345592444993,Cash,34
104.15036198995028,2.248154974710807,Credit Card,25
100.1950283781686,2.4360602231471953,Cash,34
96.03014750143066,2.8160507499768856,Cash,26
109.3850102164751,1.7428527330751153,Credit Card,26
83.93661252908332,2.1447417245729556,Gift Card,19
96.64805822011223,2.2142001482276275,Gift Card,34
107.09856436860318,1.9781513262029382,Mobile App,33
87.29809422897392,1.5455458325942406,Cash,42
93.30227571899468,2.256919638297042,Mobile App,35
103.21140616195306,1.6262783663864036,Mobile App,40
102.59771388776772,2.115595213918651,Credit Card,25
86.742138456983,2.046117531783658,Credit Card,34
100.87313077669,1.657108910650813,Credit Card,30
105.36681040522424,2.1682353579104703,Cash,28
116.24576864762915,2.316140615610471,Credit Card,31
79.33495948064363,1.7186524880254632,Credit Card,26
107.7255290081299,2.1541357852736627,Cash,38
107.72571529459071,3.155819447196416,Cash,35
108.5633576603975,2.34066969205418,Gift Card,32
114.31002645239803,2.1954173753917394,Credit Card,33
95.27096133039481,2.22769076614798,Credit Card,29
88.40762178193643,1.9289544179779974,Credit Card,41
92.71954678256344,2.0245622418158966,Gift Card,36
134.71987850010262,1.4398204422224756,Credit Card,29
110.2939028556177,1.5161852386431045,Gift Card,27
92.92102201315849,2.3266851790902097,Mobile App,18
100.96420028643195,1.6766765666212082,Gift Card,40
89.27044436110047,2.2038793246804027,Mobile App,35
89.04450052424295,2.0649375768745926,Credit Card,33
100.6835775985572,1.8045198957182549,Mobile App,24
132.1591613398799,2.1901757066954035,Gift Card,20
69.6228612001359,2.055936294430828,Cash,36
90.07320302847418,2.2557300004388674,Mobile App,22
88.11218892350949,1.9655790675599303,Mobile App,27
